LINEUPS,NETRTG,,,
D. Jones Jr. - C. White,7.7,,,
D. Lee - J. Landale,6.6,,,
D. Nix - K. Martin Jr.,-9.6,,,
T. Jones - X. Tillman,1.7,,,
V. Oladipo - T. Herro,1.9,,,
A. Sengun - T. Eason,1.1,,,
G. Niang - D. Melton,-1.3,,,
J. Nowell - N. Reid,-2,,,
J. Hart - D. Eubanks,5,,,
B. Bol - J. Suggs,-3.7,,,
J. Tatum - S. Hauser,10.1,,,
D. McDermott - Z. Collins,-3.5,,,
M. Conley - J. McDaniels,4.5,,,
N. Reid - J. McDaniels,-0.4,,,
S. Dinwiddie - N. Claxton,1.7,,,
D. DiVincenzo - A. Lamb,5.4,,,
C. McCollum - J. Alvarado,4.5,,,
C. Kispert - J. Goodwin,-9.8,,,
J. Embiid - S. Milton,6.9,,,
H. Highsmith - M. Strus,-12.2,,,
J. Valanciunas - J. Alvarado,-1.5,,,
J. Hart - I. Quickley,13.2,,,
L. Markkanen - T. Horton-Tucker,7.7,,,
L. Nance Jr. - B. Ingram,9.2,,,
M. Bagley III - K. Hayes,-16,,,
M. Kleber - L. Doncic,-0.9,,,
D. Lillard - S. Sharpe,6.1,,,
P. Connaughton - J. Carter,1.1,,,
J. Poeltl - F. VanVleet,12.3,,,
M. Wagner - P. Banchero,-8.6,,,
N. Claxton - C. Johnson,5.2,,,
S. Adams - J. Konchar,12.4,,,
B. Bogdanovic - J. Collins,-4.7,,,
P. Washington - N. Richards,-6.9,,,
M. Conley - A. Edwards,3.5,,,
P. Beverley - N. Vucevic,0.9,,,
B. Lopez - J. Ingles,6,,,
