LINEUPS,NETRTG,,,
D. Melton - S. Milton,3.5,,,
M. Bagley III - J. Ivey,-18.3,,,
M. Beasley - C. Sexton,-5.8,,,
P. George - N. Powell,-8.4,,,
A. Horford - M. Brogdon,6.7,,,
B. Portis - P. Connaughton,-2.3,,,
J. Tatum - R. Williams III,15.2,,,
B. Bogdanovic - D. Hunter,-3.9,,,
G. Hayward - D. Smith Jr.,1.8,,,
J. Richardson - K. Johnson,-9.9,,,
T. Jones - M. Branham,-12.5,,,
C. Boucher - P. Achiuwa,-5.1,,,
S. Bey - J. Duren,-5.6,,,
C. Anthony - J. Suggs,3.4,,,
J. Poeltl - O. Anunoby,6,,,
A. Nembhard - J. Smith,-9.7,,,
I. Hartenstein - Q. Grimes,1.4,,,
M. Monk - C. Metu,6.4,,,
S. Curry - J. Harris,-5.9,,,
S. Gilgeous-Alexander - J. Williams,-5.1,,,
R. Jackson - N. Powell,-7.1,,,
J. Suggs - P. Banchero,-6.2,,,
L. James - T. Bryant,2.3,,,
T. Harris - S. Milton,2.7,,,
W. Gabriel - A. Reaves,4.2,,,
K. Porzingis - D. Wright,10.4,,,
C. Joseph - J. Duren,-9,,,
K. Love - C. LeVert,0.2,,,
D. Powell - D. Finney-Smith,5.5,,,
R. Westbrook - L. Walker IV,-8.6,,,
M. Conley - K. Anderson,1.7,,,
D. Powell - J. Green,3.9,,,
J. Jackson Jr. - J. Konchar,11.4,,,
K. Leonard - N. Powell,0.1,,,
T. McConnell - A. Nesmith,-7,,,
C. Payne - M. Bridges,4.8,,,
D. Russell - K. Towns,-4.8,,,
R. Gobert - K. Towns,0.6,,,
S. Adams - S. Aldama,5.4,,,
V. Cancar - B. Brown,-2.8,,,
Z. Williamson - T. Murphy III,1.4,,,
K. Oubre Jr. - J. McDaniels,-7.4,,,
S. Milton - T. Maxey,6.8,,,
T. McConnell - C. Duarte,-5,,,
T. Rozier - N. Richards,-10,,,
M. Kleber - J. Green,1.5,,,
P. Beverley - L. Walker IV,-6.6,,,
J. Christopher - T. Eason,-13.1,,,
C. Osman - I. Okoro,9.5,,,
P. Beverley - A. Davis,-1.7,,,
C. Duarte - B. Mathurin,-6.4,,,
M. Beasley - J. Vanderbilt,-9,,,
B. Simmons - N. Claxton,5.7,,,
C. LeVert - L. Stevens,1.7,,,
J. Ingles - B. Portis,-2.9,,,
J. Jackson Jr. - X. Tillman,3.9,,,
T. Lyles - D. Mitchell,1.6,,,
K. Anderson - N. Reid,-6.9,,,
L. Nance Jr. - H. Jones,13.8,,,
R. Barrett - J. Sims,-8.7,,,
K. Oubre Jr. - D. Smith Jr.,-2.6,,,
J. Poeltl - S. Barnes,11.7,,,
D. Wade - E. Mobley,8.4,,,
B. Bol - C. Anthony,2.5,,,
C. McCollum - D. Daniels,-0.8,,,
A. Rivers - D. Russell,-6.6,,,
K. Olynyk - C. Sexton,4.6,,,
T. McConnell - I. Jackson,-8.7,,,
Z. Collins - K. Bates-Diop,1.5,,,
D. Brooks - B. Clarke,-1.5,,,
D. Murray - J. Johnson,-4.8,,,
D. White - R. Williams III,16.1,,,
D. Vassell - J. Sochan,-6.4,,,
I. Hartenstein - M. McBride,5.8,,,
K. Kuzma - J. Goodwin,-6.4,,,
K. Anderson - T. Prince,6.7,,,
A. Burks - S. Bey,-5.4,,,
S. Gilgeous-Alexander - A. Pokusevski,-8.8,,,
B. Adebayo - H. Highsmith,-6.6,,,
D. McDermott - T. Jones,-3.2,,,
I. Quickley - M. McBride,8.5,,,
M. Muscala - S. Gilgeous-Alexander,12.9,,,
R. Westbrook - D. Schroder,1.1,,,
J. McDaniels - L. Ball,-1.1,,,
A. Burks - B. Bogdanovic,5,,,
D. Green - J. Kuminga,0.6,,,
T. Prince - J. McDaniels,-0.4,,,
A. Rivers - J. Nowell,-4.2,,,
K. Irving - R. Bullock,2.8,,,
L. Kornet - S. Hauser,11.6,,,
T. Murphy III - D. Daniels,-4.7,,,
T. Craig - J. Okogie,5.9,,,
J. Grant - J. Winslow,0.8,,,
K. Porzingis - D. Gafford,5.8,,,
K. Williams - L. Dort,7,,,
M. Fultz - M. Wagner,-3.2,,,
T. Hardaway Jr. - M. Kleber,2.4,,,
C. Payne - T. Craig,-4.4,,,
J. Smith Jr. - T. Eason,-10.5,,,
R. Bullock - M. Kleber,-6.9,,,
A. Davis - J. Vanderbilt,3.6,,,
B. Brown - B. Hyland,-11.4,,,
D. Lee - J. Okogie,3,,,
D. Lillard - T. Watford,1.9,,,
J. Kuminga - A. Lamb,6.4,,,
T. Lyles - D. Sabonis,3.2,,,
J. Allen - L. Stevens,5.4,,,
L. Dort - A. Wiggins,-0.5,,,
S. Milton - P. Reed,7.6,,,
A. Simons - T. Watford,-2.6,,,
C. Payne - D. Ayton,0.8,,,
C. Wood - M. Kleber,-1.4,,,
B. Lopez - K. Middleton,11.7,,,
J. Nowell - J. McDaniels,7.9,,,
T. Ross - C. Anthony,-1.9,,,
B. Beal - D. Wright,1.2,,,
J. Jackson Jr. - B. Clarke,12.3,,,
D. Avdija - J. Goodwin,-4.8,,,
R. Gobert - J. Nowell,-3.1,,,
T. McConnell - M. Turner,-3,,,
D. Finney-Smith - C. Johnson,3.1,,,
D. Lee - D. Ayton,2.2,,,
J. Harden - G. Niang,8.7,,,
J. Robinson-Earl - J. Giddey,-5.4,,,
C. Sexton - W. Kessler,-0.3,,,
D. Lee - I. Wainright,5.8,,,
J. Brunson - J. Sims,-7.9,,,
J. Holiday - K. Middleton,8.9,,,
A. Burks - J. Duren,-1,,,
D. House Jr. - S. Milton,-1.2,,,
R. Langford - T. Jones,-7.2,,,
S. Aldama - D. Roddy,-5.7,,,
B. Bogdanovic - J. Johnson,4.6,,,
J. Randle - J. Sims,-6.8,,,
J. Valanciunas - Z. Williamson,3.9,,,
K. Irving - S. Curry,3.1,,,
D. Schroder - L. Walker IV,-8.7,,,
H. Barnes - T. Lyles,15.3,,,
K. Oubre Jr. - N. Richards,-4.5,,,
D. DeRozan - P. Beverley,-1.2,,,
L. Dort - A. Pokusevski,-13.8,,,
D. McDermott - K. Johnson,-7.5,,,
J. Morant - B. Clarke,4.2,,,
J. Winslow - A. Simons,-1.7,,,
L. Dort - J. Robinson-Earl,-4.5,,,
L. Markkanen - O. Agbaji,8,,,
D. McDermott - J. Richardson,-6.9,,,
J. Konchar - D. Roddy,0.5,,,
B. Brown - Z. Nnaji,-3.5,,,
M. Wagner - J. Suggs,0.2,,,
T. Brown Jr. - L. Walker IV,-9.3,,,
D. Mitchell - D. Wade,6.6,,,
D. Schroder - R. Hachimura,8.8,,,
D. DeRozan - A. Drummond,6.8,,,
K. Williams - T. Mann,-1.8,,,
A. Caruso - A. Dosunmu,2.2,,,
B. Hield - I. Jackson,-6.9,,,
X. Tillman - S. Aldama,-3.3,,,
H. Jones - J. Alvarado,1.4,,,
I. Stewart - J. Duren,-12.7,,,
Z. Collins - J. Sochan,-4.7,,,
H. Highsmith - T. Herro,-4,,,
A. Burks - H. Diallo,4.9,,,
D. Fox - C. Metu,7.5,,,
I. Quickley - J. Sims,-1.6,,,
N. Batum - M. Morris Sr.,10.1,,,
S. Barnes - C. Koloko,10.8,,,
P. Beverley - T. Brown Jr.,1.9,,,
D. Lee - T. Craig,0.5,,,
R. Gobert - T. Prince,-2.5,,,
R. Westbrook - P. Beverley,-0.1,,,
S. Curry - J. Kuminga,-8.6,,,
M. Conley - W. Kessler,5.8,,,
P. Beverley - T. Bryant,-2.9,,,
O. Anunoby - C. Koloko,10.1,,,
A. Holiday - O. Okongwu,2.7,,,
D. Smith Jr. - N. Richards,2.8,,,
D. Graham - N. Marshall,6.8,,,
K. Olynyk - M. Beasley,-5.8,,,
B. Clarke - D. Bane,4.9,,,
E. Gordon - T. Eason,-6.6,,,
M. Fultz - C. Anthony,-8.3,,,
R. Westbrook - W. Gabriel,4.3,,,
W. Carter Jr. - J. Suggs,0.5,,,
J. Poole - M. Moody,-1.9,,,
W. Carter Jr. - C. Anthony,-7.7,,,
I. Hartenstein - J. Hart,14.3,,,
J. Green - J. Murray,-9.3,,,
G. Hayward - M. Williams,0.1,,,
J. Konchar - D. Bane,10.8,,,
M. Harrell - S. Milton,1.9,,,
N. Batum - R. Jackson,3.9,,,
A. Caruso - C. White,7.2,,,
D. Green - A. Lamb,10.8,,,
T. Young - S. Barnes,0.1,,,
I. Joe - A. Wiggins,4.3,,,
D. Gafford - J. Goodwin,-1.3,,,
D. Sabonis - T. Davis,9.4,,,
A. Rivers - R. Gobert,-7,,,
J. Green - U. Garuba,-14.7,,,
K. Irving - L. Doncic,4.2,,,
K. Looney - J. Kuminga,-0.7,,,
H. Diallo - K. Hayes,-4.1,,,
K. Love - C. Osman,6.3,,,
M. Brogdon - L. Kornet,6.5,,,
R. Westbrook - K. Leonard,3.3,,,
T. McConnell - J. Smith,7.8,,,
A. Davis - D. Russell,12.3,,,
F. VanVleet - C. Koloko,5.1,,,
J. McDaniels - N. Richards,-6.8,,,
M. Morris Sr. - N. Powell,-2.9,,,
T. Mann - J. Giddey,-11.6,,,
T. Young - J. Johnson,0.3,,,
J. Harris - B. Simmons,-0.1,,,
D. Russell - J. Nowell,-1.6,,,
S. Adams - D. Bane,17.2,,,
T. Prince - J. Nowell,1.6,,,
W. Barton - K. Kuzma,-7.6,,,
D. Russell - N. Reid,-5.2,,,
A. Nembhard - I. Jackson,-7.8,,,
V. Oladipo - C. Martin,-5.1,,,
J. Morant - X. Tillman,5,,,
N. Marshall - H. Jones,0.4,,,
S. Gilgeous-Alexander - J. Robinson-Earl,-2.8,,,
S. Dinwiddie - J. Green,-3.7,,,
T. Mann - J. Williams,-3.4,,,
A. Rivers - N. Reid,-8,,,
Z. LaVine - D. Jones Jr.,5.1,,,
D. Finney-Smith - N. Claxton,2.7,,,
L. Kornet - G. Williams,-3.1,,,
S. Sharpe - J. Walker,-9.5,,,
T. Lyles - C. Metu,5.2,,,
G. Hayward - N. Richards,-1.7,,,
L. Nance Jr. - D. Graham,7.5,,,
T. Mann - A. Wiggins,0,,,
Q. Grimes - J. Sims,-5.1,,,
T. Young - F. VanVleet,-2.2,,,
C. LeVert - D. Wade,4.7,,,
K. Anderson - J. Nowell,0.8,,,
K. Irving - J. Green,3.5,,,
N. Marshall - D. Daniels,-4.8,,,
B. Hield - O. Brissett,7.3,,,
J. Winslow - J. Hart,4.4,,,
K. Kuzma - R. Hachimura,-0.4,,,
K. Irving - T. Hardaway Jr.,13.1,,,
K. Leonard - R. Jackson,11.8,,,
M. Plumlee - D. Smith Jr.,-6.6,,,
R. Jackson - T. Mann,-9.2,,,
T. Harris - G. Niang,-2.1,,,
G. Niang - P. Reed,-5.2,,,
I. Livers - J. Duren,-9.1,,,
P. Siakam - C. Koloko,6.9,,,
R. O'Neale - C. Thomas,-2.2,,,
D. Smith Jr. - J. McDaniels,-3,,,
A. Nesmith - I. Jackson,-6.3,,,
M. Monk - T. Davis,-6.6,,,
D. Bane - D. Roddy,3.3,,,
D. Eubanks - N. Little,-12.7,,,
C. Sexton - J. Vanderbilt,-5.2,,,
G. Hill - B. Portis,-1.4,,,
M. Beasley - T. Horton-Tucker,-1.1,,,
D. DeRozan - D. Jones Jr.,4.9,,,
A. Holiday - J. Johnson,4.9,,,
J. Poeltl - D. Vassell,-12.6,,,
K. Porzingis - J. Goodwin,-5.8,,,
D. McDermott - M. Branham,-12.1,,,
G. Dragic - D. DeRozan,5.4,,,
J. Brown - R. Williams III,11.8,,,
A. Burks - J. Ivey,-9.1,,,
F. Wagner - C. Houstan,4.3,,,
K. Bates-Diop - J. Sochan,-3.6,,,
H. Diallo - I. Livers,0.5,,,
J. Wiseman - K. Hayes,-18.7,,,
T. Rozier - J. Thor,-10.3,,,
Z. Collins - D. Vassell,-10.8,,,
C. Capela - B. Bogdanovic,-7.3,,,
C. Paul - D. Lee,8.2,,,
K. Looney - A. Lamb,-4.9,,,
O. Brissett - A. Nembhard,0.3,,,
T. Prince - N. Reid,-2.6,,,
G. Niang - D. House Jr.,2.7,,,
J. Morant - D. Roddy,5.9,,,
K. Love - D. Mitchell,7.6,,,
S. Dinwiddie - R. O'Neale,7.4,,,
A. Burks - C. Joseph,6.9,,,
D. Fox - T. Davis,1.4,,,
J. Tatum - L. Kornet,12.2,,,
P. Tucker - S. Milton,-3.5,,,
T. Prince - J. McLaughlin,8.6,,,
J. Green - J. Tate,-6.1,,,
A. Nesmith - J. Smith,-5.3,,,
C. Wood - D. Finney-Smith,-2,,,
J. Nurkic - S. Sharpe,-2.7,,,
M. Monk - K. Huerter,2.7,,,
A. Simons - N. Little,-0.7,,,
B. Clarke - J. Konchar,-0.1,,,
D. Schroder - W. Gabriel,4.6,,,
T. Brown Jr. - W. Gabriel,-2.6,,,
D. Smith Jr. - J. Thor,-5.9,,,
R. O'Neale - M. Bridges,2,,,
A. Rivers - J. McDaniels,0.6,,,
D. Murray - S. Bey,0.2,,,
D. Jones Jr. - A. Dosunmu,3.5,,,
M. Branham - J. Sochan,-10.9,,,
S. Adams - J. Jackson Jr.,14,,,
R. Gay - M. Beasley,11.6,,,
A. Pokusevski - J. Giddey,-14.2,,,
G. Dragic - A. Drummond,3.2,,,
T. Jones - J. Morant,-2.7,,,
T. Young - C. Boucher,-8.1,,,
J. Wall - N. Powell,-9.7,,,
A. Coffey - T. Mann,-17.5,,,
H. Diallo - J. Duren,-5.1,,,
K. Middleton - G. Antetokounmpo,3.5,,,
M. Fultz - B. Bol,-10.5,,,
A. Drummond - A. Dosunmu,0.5,,,
B. Lopez - W. Matthews,10.4,,,
J. Clarkson - T. Horton-Tucker,9.5,,,
J. Butler - V. Oladipo,0.9,,,
M. Bamba - F. Wagner,3,,,
S. Gilgeous-Alexander - T. Mann,13,,,
A. Davis - M. Beasley,-1.7,,,
D. Jordan - B. Brown,-11.2,,,
K. Porter Jr. - U. Garuba,-14.8,,,
M. Brogdon - R. Williams III,11.1,,,
B. Hield - C. Duarte,-11,,,
D. Hunter - A. Griffin,-2.6,,,
K. Middleton - G. Allen,2.8,,,
P. George - L. Kennard,11.2,,,
T. Maledon - N. Richards,-8.2,,,
G. Antetokounmpo - J. Ingles,3.9,,,
I. Zubac - L. Kennard,5,,,
J. Wiseman - J. Ivey,-20.8,,,
M. Harrell - G. Niang,4.6,,,
T. Ross - P. Banchero,-4.7,,,
J. Green - D. DiVincenzo,-5.9,,,
J. Landale - I. Wainright,9.2,,,
J. Valanciunas - D. Daniels,-1.3,,,
J. Collins - A. Griffin,3.4,,,
G. Dragic - D. Jones Jr.,9.2,,,
J. Grant - T. Watford,-9.3,,,
J. Richardson - Z. Collins,-9.8,,,
A. Davis - R. Hachimura,9.1,,,
B. Clarke - S. Aldama,-3.5,,,
D. Garland - D. Wade,9.9,,,
R. Covington - N. Powell,-0.6,,,
B. Biyombo - D. Lee,1.2,,,
D. Lillard - M. Thybulle,0.1,,,
J. Ingles - P. Connaughton,1.9,,,
J. Brown - S. Hauser,7.7,,,
K. Thompson - A. Lamb,3.7,,,
O. Anunoby - P. Achiuwa,0.8,,,
T. Rozier - M. Williams,-2.9,,,
V. Oladipo - G. Vincent,-2.4,,,
C. Boucher - M. Flynn,-6.1,,,
D. Nix - J. Smith Jr.,-13.9,,,
K. Love - E. Mobley,-1.8,,,
T. Young - O. Anunoby,-1.6,,,
B. Biyombo - M. Bridges,12.8,,,
R. Covington - T. Mann,5.2,,,
Z. Williamson - H. Jones,8.6,,,
K. Johnson - R. Langford,-11.9,,,
N. Little - T. Watford,-9.8,,,
J. Nurkic - J. Winslow,0.2,,,
K. Durant - S. Curry,10.6,,,
T. Young - G. Trent Jr.,-14.6,,,
A. Drummond - Z. LaVine,2.2,,,
C. Paul - B. Biyombo,9.8,,,
J. Green - K. Caldwell-Pope,-5.5,,,
O. Okongwu - S. Bey,15.9,,,
I. Joe - J. Williams,-6.9,,,
M. Bagley III - I. Livers,-17.9,,,
N. Batum - J. Wall,-7.6,,,
C. Joseph - H. Diallo,-1.9,,,
W. Barton - D. Gafford,-2.7,,,
J. Green - B. Hyland,-8.4,,,
L. Nance Jr. - D. Daniels,-0.8,,,
T. Jerome - J. Poole,-9.5,,,
J. Poeltl - K. Bates-Diop,-15.6,,,
M. Bridges - C. Johnson,15.2,,,
R. Rubio - C. LeVert,-7.1,,,
B. Ingram - N. Marshall,-4,,,
C. Paul - C. Johnson,13.9,,,
K. Bates-Diop - D. Vassell,-13.8,,,
R. Westbrook - T. Bryant,-3.9,,,
C. Osman - D. Wade,7.4,,,
M. Bridges - L. Shamet,-8.4,,,
C. Joseph - K. Hayes,-17.6,,,
T. Jerome - J. Kuminga,-4,,,
J. Allen - D. Wade,11.4,,,
O. Brissett - I. Jackson,-2.3,,,
T. Ross - M. Bamba,7.7,,,
A. Drummond - P. Williams,-6,,,
C. Joseph - M. Bagley III,4.3,,,
E. Sumner - N. Claxton,9.3,,,
G. Vincent - H. Highsmith,-4.2,,,
P. Beverley - A. Reaves,-1.6,,,
J. Tate - J. Smith Jr.,-8.3,,,
J. Wall - M. Morris Sr.,-10.8,,,
P. Pritchard - S. Hauser,3,,,
R. O'Neale - E. Sumner,2.7,,,
C. Capela - A. Griffin,0.7,,,
J. Richardson - J. Poeltl,-7.5,,,
R. O'Neale - Y. Watanabe,-0.8,,,
S. Curry - B. Simmons,0.6,,,
D. Nix - U. Garuba,-7.2,,,
K. Love - D. Garland,4.3,,,
K. Williams - I. Joe,17.7,,,
R. Williams III - G. Williams,12.3,,,
G. Dragic - Z. LaVine,-2,,,
J. Christopher - J. Smith Jr.,-15.6,,,
M. Beasley - J. Vanderbilt,-8.4,,,
J. Vanderbilt - A. Reaves,1.4,,,
R. Hachimura - A. Reaves,10.5,,,
T. Bryant - T. Brown Jr.,0.2,,,
T. Horton-Tucker - S. Fontecchio,-10.1,,,
A. Holiday - A. Griffin,4.7,,,
A. Rivers - K. Anderson,-5,,,
R. Westbrook - I. Zubac,5.4,,,
T. Brown Jr. - R. Hachimura,-6.2,,,
C. Payne - D. Lee,3.1,,,
J. McLaughlin - N. Reid,0.9,,,
K. Love - J. Butler,1.4,,,
N. Jokic - C. Braun,19.2,,,
P. Washington - M. Williams,0.5,,,
T. McConnell - A. Nembhard,-1,,,
D. Finney-Smith - J. Green,6.8,,,
G. Dragic - C. White,5,,,
J. Hart - S. Sharpe,4.9,,,
B. Biyombo - T. Craig,2.3,,,
B. Bogdanovic - M. Bagley III,-16.2,,,
B. Clarke - D. Roddy,2.3,,,
G. Trent Jr. - C. Koloko,1.8,,,
J. Brunson - O. Toppin,9.8,,,
J. Holiday - W. Matthews,10.5,,,
T. Ross - W. Carter Jr.,-2.6,,,
B. Bogdanovic - S. Bey,15.1,,,
J. Kuminga - M. Moody,1.9,,,
J. Richardson - M. Branham,-8.8,,,
T. Young - P. Siakam,-5.7,,,
X. Tillman - D. Roddy,-5.8,,,
B. Griffin - J. Tatum,7.2,,,
J. Hart - R. Barrett,1.1,,,
L. Nance Jr. - Z. Williamson,14.2,,,
M. Fultz - J. Suggs,-1,,,
R. Barrett - M. McBride,1.2,,,
S. Adams - T. Jones,8,,,
T. Jerome - A. Lamb,-8.7,,,
N. Batum - R. Covington,2.2,,,
N. Claxton - C. Thomas,2.6,,,
D. Brooks - D. Roddy,-0.3,,,
H. Barnes - T. Davis,5.2,,,
K. Anderson - K. Towns,3.5,,,
J. Jackson Jr. - D. Roddy,3.7,,,
J. Randle - J. Hart,11.7,,,
J. Okogie - J. Landale,13.8,,,
N. Jokic - V. Cancar,12.3,,,
D. Smith Jr. - M. Williams,-0.3,,,
J. Robinson-Earl - J. Williams,-1.7,,,
J. Thor - M. Williams,-11.2,,,
L. Kennard - S. Aldama,9.3,,,
B. Bogdanovic - C. Cunningham,-5.4,,,
M. Turner - J. Smith,-5.6,,,
A. Burks - K. Knox II,-4.8,,,
J. Tate - A. Sengun,-6.3,,,
T. Craig - L. Shamet,-10.3,,,
B. Griffin - D. White,14.1,,,
J. McLaughlin - A. Edwards,14.1,,,
M. Beasley - N. Alexander-Walker,-4.8,,,
E. Gordon - K. Leonard,-2.3,,,
N. Richards - J. Thor,-4.8,,,
S. Milton - M. Thybulle,9.4,,,
V. Cancar - C. Braun,-16.8,,,
D. Robinson - G. Vincent,-1.6,,,
K. Love - G. Vincent,2.1,,,
K. Martin Jr. - J. Tate,-13.5,,,
J. Hernangomez - S. Barnes,-2.8,,,
K. Williams - A. Wiggins,0,,,
W. Carter Jr. - B. Bol,-1.2,,,
C. McCollum - J. Richardson,-5.1,,,
D. McDermott - D. Vassell,-9,,,
J. Carter - M. Beauchamp,-9,,,
K. Durant - E. Sumner,6.1,,,
D. McDermott - K. Bates-Diop,-11.2,,,
D. Nix - A. Sengun,-15.2,,,
D. Booker - D. Lee,3.6,,,
D. White - L. Kornet,10.3,,,
J. Ingles - J. Carter,3.8,,,
T. Young - S. Bey,9.9,,,
W. Barton - J. Goodwin,-1.4,,,
A. Horford - R. Williams III,15.9,,,
A. Nembhard - J. Nwora,-20.4,,,
D. Graham - J. Alvarado,5.6,,,
B. Portis - J. Nwora,-2.9,,,
G. Williams - P. Pritchard,4.1,,,
H. Diallo - J. Ivey,-7.2,,,
Z. Williamson - J. Alvarado,17.2,,,
A. Lamb - M. Moody,1,,,
J. Grant - N. Little,-7.3,,,
K. Irving - D. Powell,8.7,,,
A. Holiday - T. Young,-1.2,,,
J. Harden - S. Milton,6.5,,,
J. McDaniels - T. Maledon,-16,,,
A. Burks - K. Hayes,-2.4,,,
C. Osman - L. Stevens,2.9,,,
M. Harrell - T. Maxey,-4.1,,,
W. Matthews - B. Portis,4.1,,,
D. Lee - L. Shamet,5.7,,,
J. Okogie - I. Wainright,-0.2,,,
J. Smith - C. Duarte,-3.7,,,
B. Biyombo - D. Booker,3.8,,,
J. Hernangomez - F. VanVleet,0.1,,,
M. Beasley - T. Brown Jr.,-0.1,,,
R. Gay - W. Kessler,11.5,,,
T. Davis - D. Mitchell,12.6,,,
B. Biyombo - J. Okogie,-6.2,,,
B. Bogdanovic - I. Livers,-12.9,,,
J. Richardson - T. Jones,-6.6,,,
K. Love - J. Allen,7.4,,,
M. Flynn - S. Barnes,-6.4,,,
O. Brissett - J. Smith,4.6,,,
S. Bey - C. Cunningham,-5.4,,,
G. Niang - M. Thybulle,9.7,,,
L. Dort - T. Mann,15,,,
L. James - W. Gabriel,6.8,,,
M. Bridges - J. Landale,7.2,,,
T. Haliburton - I. Jackson,-6.8,,,
W. Matthews - G. Antetokounmpo,10,,,
D. Lillard - N. Little,-3.4,,,
G. Hayward - J. McDaniels,8.9,,,
K. Caldwell-Pope - V. Cancar,12.3,,,
L. Ball - M. Williams,-4.8,,,
S. Curry - A. Lamb,11.9,,,
Z. Nnaji - C. Braun,-23.3,,,
P. Beverley - A. Caruso,11,,,
T. Maledon - J. Thor,-4.7,,,
C. Anthony - C. Houstan,1,,,
J. Wall - I. Zubac,-6,,,
Z. Williamson - N. Marshall,6.6,,,
B. Adebayo - D. Robinson,-5.3,,,
K. Looney - T. Jerome,-0.3,,,
N. Richards - B. McGowens,-9,,,
R. Westbrook - P. George,2.8,,,
D. Eubanks - M. Thybulle,-10.7,,,
D. House Jr. - D. Melton,5,,,
D. Robinson - M. Strus,-15.5,,,
G. Hayward - J. Thor,-9.6,,,
J. Wall - T. Mann,-2,,,
J. Winslow - S. Sharpe,-8.9,,,
O. Agbaji - S. Fontecchio,-12.7,,,
R. Rubio - E. Mobley,12.7,,,
C. Joseph - J. Ivey,-18,,,
D. Lillard - C. Reddish,-5.3,,,
D. Schroder - J. Vanderbilt,-1.9,,,
B. Bol - C. Houstan,-8.1,,,
B. Bol - C. Okeke,-13.9,,,
B. Portis - M. Beauchamp,1.3,,,
C. Joseph - K. Knox II,-7.7,,,
R. Westbrook - E. Gordon,0.7,,,
Y. Watanabe - N. Claxton,3.5,,,
D. DiVincenzo - T. Jerome,-3,,,
K. Lowry - H. Highsmith,3.4,,,
D. Booker - J. Landale,11.9,,,
J. Ingles - G. Allen,-8.5,,,
K. Irving - Y. Watanabe,6.6,,,
T. Lyles - K. Murray,1.2,,,
C. Martin - D. Robinson,-4.6,,,
C. Wood - J. Hardy,-0.1,,,
G. Mathews - T. Eason,-9.3,,,
J. Hart - O. Toppin,13.8,,,
R. Bullock - J. Hardy,-0.2,,,
D. Bazley - T. Mann,-16.8,,,
J. Murray - C. Braun,2.9,,,
D. Jones Jr. - A. Caruso,4.9,,,
D. Saric - M. Bridges,-10.1,,,
D. Schroder - M. Beasley,-4.9,,,
J. Alvarado - D. Daniels,4.6,,,
K. Anderson - J. McLaughlin,5.6,,,
K. Porzingis - R. Hachimura,1.5,,,
R. Gay - L. Markkanen,4.5,,,
J. Hayes - N. Marshall,-3.2,,,
K. Love - T. Herro,5.9,,,
T. Mann - O. Dieng,1.5,,,
W. Matthews - J. Carter,1.7,,,
A. Burks - I. Stewart,-0.7,,,
J. Thor - B. McGowens,-5.1,,,
K. Lowry - G. Vincent,-0.2,,,
M. Plumlee - T. Mann,7.7,,,
L. Kennard - T. Mann,5.8,,,
R. Westbrook - K. Nunn,0.3,,,
T. Davis - K. Murray,3.1,,,
J. Richardson - J. Sochan,2.5,,,
K. Martin Jr. - J. Christopher,-17.5,,,
K. Middleton - B. Portis,1,,,
M. Bamba - C. Anthony,5.6,,,
V. Cancar - Z. Nnaji,-7.2,,,
D. Murray - A. Holiday,-3.5,,,
D. Smith Jr. - B. McGowens,-8.5,,,
J. Embiid - D. House Jr.,5.1,,,
T. Maledon - B. McGowens,-3.3,,,
T. Washington Jr. - T. Eason,-3.5,,,
J. Murray - B. Hyland,-11.9,,,
J. Tate - T. Eason,-2.1,,,
P. Washington - T. Maledon,-15.9,,,
Q. Grimes - M. McBride,-0.2,,,
D. Russell - T. Prince,-11.3,,,
K. Caldwell-Pope - C. Braun,1.2,,,
N. Batum - L. Kennard,10.4,,,
G. Dragic - A. Caruso,4.3,,,
I. Stewart - C. Cunningham,-3,,,
M. Thybulle - T. Maxey,11.8,,,
R. O'Neale - C. Johnson,12.1,,,
B. Hyland - C. Braun,-6.2,,,
D. Russell - J. Vanderbilt,3.9,,,
M. Muscala - J. Williams,8.8,,,
C. Joseph - I. Livers,-2.1,,,
J. Murray - V. Cancar,2.5,,,
P. Washington - B. McGowens,-14.2,,,
A. Pokusevski - J. Williams,-20.8,,,
B. Ingram - J. Alvarado,12.7,,,
C. Payne - J. Landale,9.2,,,
D. McDermott - J. Sochan,-5.2,,,
D. Saric - D. Lee,3.8,,,
J. Hernangomez - O. Anunoby,-3.8,,,
J. Konchar - X. Tillman,9.9,,,
J. Nwora - B. Mathurin,-16,,,
J. Richardson - B. Ingram,-5.5,,,
R. Hachimura - D. Gafford,-6.8,,,
T. Maxey - P. Reed,-0.3,,,
W. Kessler - S. Fontecchio,-15.7,,,
J. Robinson-Earl - T. Mann,7.3,,,
K. Knox II - S. Bey,-11.3,,,
R. Langford - J. Sochan,-9.7,,,
J. Randle - M. McBride,11.9,,,
S. Curry - Y. Watanabe,-10.2,,,
I. Joe - T. Mann,11.4,,,
J. Poeltl - R. Langford,-9.5,,,
M. Conley - C. Sexton,1,,,
T. Lyles - T. Davis,4.3,,,
B. Lopez - M. Beauchamp,2,,,
D. DeRozan - J. Green,4.4,,,
D. Graham - T. Murphy III,-8.5,,,
J. Christopher - U. Garuba,-14.2,,,
J. Green - M. Porter Jr.,-0.3,,,
J. Winslow - D. Eubanks,-2.3,,,
C. Joseph - S. Bey,-3.6,,,
P. Siakam - M. Flynn,1.2,,,
T. Brown Jr. - J. Vanderbilt,-3.8,,,
T. Jerome - M. Moody,-3.8,,,
K. Durant - Y. Watanabe,4.7,,,
O. Toppin - M. McBride,-0.4,,,
